type,text
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
ham,We got a divorce. Lol. She.s here
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, # ."
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
ham,I had askd u a question some hours before. Its answer
ham,I need to come home and give you some good lovin...
ham,#  great loxahatchee xmas tree burning update: you can totally see stars here
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
ham,I'm on the bus. Love you
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,"Sorry,  in meeting I'll call you later"
ham,K:)all the best:)congrats...
ham,Waiting for your call.
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
spam,"Congratulations! Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
ham,Home so we can always chat
spam,"Win the newest âHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
ham,She doesnt need any test.
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either Â£1000 cash or Â£200 prize. Just call 09066361921"
ham,K..k..i'm also fine:)when will you complete the course?
ham,"Sorry, I'll call later"
ham,Also maaaan are you missing out
ham,Discussed with your mother ah?
ham,Later i guess. I needa do mcat study too.
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,Is avatar supposed to have subtoitles
ham,She's good. How are you. Where r u working now
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
ham,You bad girl. I can still remember them
ham,Really good:)dhanush rocks once again:)
ham,Is there any training tomorrow?
ham,Surely result will offer:)
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
ham,I'm in office now da:)where are you?
ham,We left already we at orchard now.
ham,Mmm thats better now i got a roast down me! iâd b better if i had a few drinks down me 2! Good indian?
ham,I cant pick the phone right now. Pls send a message
ham,my ex-wife was not able to have kids. Do you want kids one day?
ham,Erm. I thought the contract ran out the4th of october.
ham,Ok i juz receive..
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,Congrats kano..whr s the treat maga?
ham,I think if he rule tamilnadu..then its very tough for our people.
ham,Can you talk with me..
ham,No way I'm going back there!
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
ham,What should i eat fo lunch senor
ham,Havent.
ham,Oh ya ya. I remember da. .
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
ham,u still got lessons?  u in sch?
ham,Much better now thanks lol
ham,Happy new years melody!
ham,Okie
ham,But i juz remembered i gotta bathe my dog today..
ham,Wen did you get so spiritual and deep. That's great
ham,I only haf msn. It's yijue@hotmail.com
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,K:)k..its good:)when are you going?
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
ham,I am on the way to ur home
ham,Are you ok. What happen to behave like this
ham,"Yeah, give me a call if you've got a minute"
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
ham,But i dint slept in afternoon.
ham,If you r @ home then come down within 5 min
ham,Just got to  #
ham,"Iâ¬Ëve got some salt, you can rub it in my open wounds if you like!"
ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,Goodmorning sleeping ga.
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,7 at esplanade.. Do u mind giving me a lift cos i got no car today..
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,So u gonna get deus ex?
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,"Received, understood n acted upon!"
ham,Boo. How's things? I'm back at home and a little bored already :-(
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
ham,Come by our room at some point so we can iron out the plan for this weekend
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
spam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
ham,Many times we lose our best ones bcoz we are 
ham,"idc get over here, you are not weaseling your way out of this twice in a row"
ham,Hurry home. Soup is DONE!
ham,Hi my email address has changed now it is 
ham,I'm freezing and craving ice. Fml
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
ham,So wat's da decision?
ham,Send to someone else :-)
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
ham,Do you hide anythiing or keeping distance from me
ham,Dear how you. Are you ok?
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a Â£350 award. If your number matches please call 09063442151 to claim your Â£350 award
ham,Guessin you ain't gonna be here before 9?
ham,I dunno they close oredi not... u v ma fan...
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,I think u have the wrong number.
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
ham,Thats cool. I want to please you...
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
ham,No. I dont want to hear anything
ham,I'm at home n ready...
ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,Which channel:-):-):):-).
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
ham,Was playng 9 doors game and gt racing on phone lol
ham,ILL B DOWN SOON
ham,"Its ok, called mom instead have fun"
ham,Oooh I got plenty of those!
ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
ham,ALRITE
ham,Yes princess! I want to make you happy...
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
ham,"Dude u knw also telugu..thts gud..k, gud nyt.."
ham,Morning only i can ok.
ham,Yeah but which is worse for i
ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it..."
ham,u eatin later but i'm eatin wif my frens now lei... u going home first? 
ham,So i asked how's anthony. Dad. And your bf
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
ham,After the drug she will be able to eat.
spam,YOU ARE CHOSEN TO RECEIVE A Â£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,Every day i use to sleep after  #  so only.
ham,Ha ha ha good joke. Girls are situation seekers.
ham,soon you will have the real thing princess! Do i make you wet? :)
ham,"Lets use it next week, princess :)"
ham,Sitting ard nothing to do lor. U leh busy w work?
ham,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon 
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
ham,Ok. There may be a free gym about.
ham,Carlos'll be here in a minute if you still need to buy
ham,That is wondarfull song
ham,Then what about further plan?
ham,Ok i shall talk to him
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
ham,We have to pick rayan macleran there.
ham,"Dear all, as we know  # th is the  # th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
spam,You can donate Â£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. Â£2.50 will be added to your next bill
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...& Traditions.... Have an ideal Christmas..."
ham,Gam gone after outstanding innings.
ham,Good morning princess! Happy New Year!
spam,"U can WIN Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
ham,So the sun is anti sleep medicine.
ham,"Greetings me, ! Consider yourself excused."
ham,Lol yeah at this point I guess not
ham,Actually I decided I was too hungry so I haven't left yet :V
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,No. Thank you. You've been wonderful
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,"Arms fine, how's Cardiff and uni? "
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,"Hi, Mobile no.  #  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Stop knowing me so well!
ham,That's a shame! Maybe cld meet for few hrs tomo?
ham,3 pa but not selected.
ham,I was gonna ask you lol but i think its at 7
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
ham,I knew it... U slept v late yest? Wake up so late...
ham,Lmao. Take a pic and send it to me.
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
ham,See? I thought it all through
ham,I like to think there's always the possibility of being in a pub later.
ham,"Hi, Mobile no.  #  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Yar... I tot u knew dis would happen long ago already.
ham,That's necessarily respectful
ham,Bring home some Wendy =D
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,Wat time u finish?
ham,Speaking of does he have any cash yet?
ham,I sent you  #  bucks
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,I went to ur hon lab but no one is there.
ham,"K, want us to come by now?"
ham,Shopping? Eh ger i toking abt syd leh...Haha
ham,Huh y lei...
ham,I told that am coming on wednesday.
ham,Yes:)from last week itself i'm taking live call.
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
ham,Hi da:)how is the todays class?
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT CARE. BAILIFF DUE IN DAYS. I O Â£250 3 WANT Â£800
ham,ELLO BABE U OK?
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,"Could you not read me, my Love ? I answered you"
ham,Do u hav any frnd by name ashwini in ur college?
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
spam,+123 Congratulations - in this week's competition draw u have won the Â£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  #  movie DOESNT inlude the previews. You're still getting in after 1."
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Dare i ask... Any luck with sorting out the car?
ham,Did u got that persons story
ham,"No, but you told me you were going, before you got drunk!"
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
ham,Just do what ever is easier for you
ham,U should make a fb list
ham,"Vikky, come around  TIME .."
ham,I come n pick u up... Come out immediately aft ur lesson...
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  # /7 NEVER STUDY just to be safe
ham,My sister going to earn more than me da.
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,Oh all have to come ah?
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,Anything lor if they all go then i go lor...
ham,There r many model..sony ericson also der.. # ..it luks good bt i forgot modl no
ham,"Sorry, I'll call later in meeting"
ham,Ya it came a while ago
ham,what is your account number?
ham,Lol its ok I didn't remember til last nite
ham,Yeah it's jus rite...
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,Yup
ham,"Nothing much, chillin at home. Any super bowl plan?"
ham,"Probably gonna be here for a while, see you later tonight )"
ham,Can you say what happen
ham,She's borderline but yeah whatever.
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,"If i let you do this, i want you in the house by 8am."
ham,Welp apparently he retired
ham,Anything...
ham,Huh i cant thk of more oredi how many pages do we have?
ham,Lol no. U can trust me.
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,Dear umma she called me now :-)
ham,What's nannys address?
ham,I think it's all still in my car
ham,"So check your errors and if you had difficulties, do correction."
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Its a part of checking IQ
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally bad to demand a blood oath fo"
spam,You have been specially selected to receive a 3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
ham,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
ham,Tell where you reached
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!
ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? 
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,"Dizzamn, aight I'll ask my suitemates when I get back"
ham,I'm at work. Please call
ham,You've always been the brainy one.
ham,"Ha. You donâ¬Ët know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
ham,I'm aight. Wat's happening on your side.
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,"Aight, I'll get it later"
ham,Shhhhh nobody is supposed to know!
ham,"Miss ya, need ya, want ya, love ya."
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
ham,I will reach before ten morning
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
ham,u wait 4 me in sch i finish ard 5..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Do have a nice day today. I love you so dearly.
ham,I am not having her number sir
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,We live in the next  # mins
ham,aathi..where are you dear..
ham,Come to my home for one last time i wont do anything. Trust me.
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,Thanks for looking out for me. I really appreciate.
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. Â£1.50 SP:Tyrone
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)
ham,Or just do that 6times
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
spam,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
ham,Thought praps you meant another one. Goodo! I'll look tomorrow 
ham,Hahaha..use your brain dear
ham,New car and house for my parents.:)i have only new job in hand:)
ham,Boooo you always work. Just quit.
ham,You are a very very very very bad girl. Or lady.
ham,"Yep, at derek's house now, see you Sunday 3"
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
ham,.Please charge my mobile when you get up in morning.
ham,Is that seriously how you spell his name?
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,K:)k:)what are detail you want to transfer?acc no enough?
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  #  IQ. Tis s IAS question try to answer.
ham,Pls dont restrict her from eating anythin she likes for the next two days.
ham,Cancel cheyyamo?and get some money back?
ham,Check audrey's status right now
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,"that would be good ... I'll phone you tomo lunchtime, shall I, to organise something?"
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
ham,Did you see that film:)
ham,"K, I'll work something out"
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
ham,Am slow in using biola's fne
ham,Then why you not responding
spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,u give me some time to walk there.
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
ham,"Right on brah, see you later"
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,Oic... Then better quickly go bathe n settle down...
spam,"complimentary 4 STAR Ibiza Holiday or Â£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,Omg it could snow here tonite!
ham,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDâS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins"
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham,Love you aathi..love u lot..
ham,"Dear, will call Tmorrow.pls accomodate."
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK âMORROW. C U THIS WK? WHO WAS THE MSG 4? â RANDOM!
ham,"What will we do in the shower, baby?"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
ham,"Haha good to hear, I'm officially paid and on the market for an 8th"
ham,#  w jetton ave if you forgot
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.
ham,Dont know supports srt i thnk. I think ps3 can play through usb too
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,I have printed it oh. So  #  come upstairs
ham,Pls send me your address sir.
ham,Also andros ice etc etc
ham,Lol I would but despite these cramps I like being a girl.
ham,Great comedy..cant stop laughing da:)
ham,Pls come quick cant bare this.
ham,Remember to ask alex about his pizza
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
spam,As a registered optin subscriber ur draw 4 Â£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,Happy New Year Princess!
ham,K come to nordstrom when you're done
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,"Yes, princess. Are you going to make me moan?"
ham,"Fun fact: although you would think armand would eventually build up a tolerance or something considering how much he smokes, he gets messed up in like 2 hits"
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, Â£3 per pole. UnSub 08718727870."
ham,At home also.
ham,We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. paths are made by walking.. not by waiting.. Goodnight!
ham,Send me yetty's number pls.
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
ham,Aiyar sorry lor forgot 2 tell u...
